jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1029,  2600,  completed,  eof,  2019-03-13 15:07:27,  2019-03-13 15:14:26,  419,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_272.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  22695,  11,  None,  272,  14,  None,  3,  0.05005,  None,  0.05015,  1.34645332877,  1.44455754473, 
1029,  2611,  completed,  eof,  2019-03-13 15:07:27,  2019-03-13 15:10:46,  199,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  22695,  9,  None,  22,  12,  None,  1,  0.0001,  None,  0.1,  0.821227308911,  0.881062922625, 
1029,  2612,  completed,  eof,  2019-03-13 15:10:46,  2019-03-13 15:17:15,  389,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|value:n_521.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  22695,  12,  None,  521,  16,  None,  5,  0.1,  None,  0.0003,  1.16039011474,  1.24493754017, 
1029,  2613,  completed,  eof,  2019-03-13 15:14:26,  2019-03-13 15:19:17,  291,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  22695,  10,  None,  147,  13,  None,  2,  0.025075,  None,  0.075075,  1.28007614672,  1.37334404102, 
1029,  2614,  completed,  eof,  2019-03-13 15:17:15,  2019-03-13 15:24:02,  407,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_396.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  22695,  11,  None,  396,  15,  None,  4,  0.075025,  None,  0.025225,  1.19957296652,  1.28697530187, 
1029,  2615,  completed,  eof,  2019-03-13 15:19:17,  2019-03-13 15:23:01,  224,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_74.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0144896515556.modelParams|spParams|synPermInactiveDec_0.1,  22695,  9,  None,  74,  12,  None,  2,  0.0144896515556,  None,  0.1,  1.44996357403,  1.55560967149, 
1029,  2616,  completed,  eof,  2019-03-13 15:23:01,  2019-03-13 15:26:20,  199,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_59.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0075925.modelParams|spParams|synPermInactiveDec_0.0925225,  22695,  9,  None,  59,  13,  None,  1,  0.0075925,  None,  0.0925225,  2.03590209469,  2.18424038054, 
1029,  2617,  completed,  eof,  2019-03-13 15:24:02,  2019-03-13 15:27:30,  208,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_52.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0238843031113.modelParams|spParams|synPermInactiveDec_0.1,  22695,  9,  None,  52,  12,  None,  1,  0.0238843031113,  None,  0.1,  1.60813100646,  1.72530137411, 
1029,  2618,  completed,  eof,  2019-03-13 15:26:20,  2019-03-13 15:29:38,  198,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_61.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0950683922224,  22695,  9,  None,  61,  12,  None,  1,  0.0001,  None,  0.0950683922224,  1.9601901621,  2.10301198509, 
1029,  2619,  completed,  eof,  2019-03-13 15:27:31,  2019-03-13 15:30:47,  196,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_39.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0191869773334.modelParams|spParams|synPermInactiveDec_0.0951751766672,  22695,  9,  None,  39,  12,  None,  1,  0.0191869773334,  None,  0.0951751766672,  0.956809524307,  1.02652382201, 
1029,  2620,  completed,  killed,  2019-03-13 15:29:39,  2019-03-13 15:30:48,  69,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_24.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00252877293932.modelParams|spParams|synPermInactiveDec_0.1,  9100,  9,  None,  24,  12,  None,  1,  0.00252877293932,  None,  0.1,  2.52825280974,  2.75925432562, 
1029,  2621,  completed,  eof,  2019-03-13 15:30:47,  2019-03-13 15:34:02,  195,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_47.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|spParams|synPermInactiveDec_0.05015,  22695,  11,  None,  47,  14,  None,  3,  0.05005,  3.5,  0.05015,  1.23307650449,  1.32291994808, 
