jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|consumption:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=consumption, 
1002,  1273,  completed,  eof,  2019-02-05 16:45:32,  2019-02-05 16:45:33,  1,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|consumption:n_272.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  25,  11,  None,  272,  14,  None,  3,  0.05005,  None,  275,  NontemporalMultiStep,  0.05015,  7.18695916667,  25.6906493893, 
1002,  1284,  completed,  eof,  2019-02-05 16:45:32,  2019-02-05 16:45:33,  1,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  25,  11,  None,  None,  14,  None,  3,  0.05005,  3.5,  275,  NontemporalMultiStep,  0.05015,  7.18695916667,  25.6906493893, 
1002,  1285,  completed,  eof,  2019-02-05 16:45:33,  2019-02-05 16:45:33,  0,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  25,  11,  None,  None,  14,  6.25,  3,  0.05005,  None,  275,  NontemporalMultiStep,  0.05015,  7.18695916667,  25.6906493893, 
1002,  1296,  completed,  eof,  2019-02-05 16:45:33,  2019-02-05 16:45:34,  1,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  25,  11,  1,  None,  14,  None,  3,  0.05005,  None,  275,  NontemporalMultiStep,  0.05015,  7.18695916667,  25.6906493893, 
1002,  1297,  completed,  eof,  2019-02-05 16:45:33,  2019-02-05 16:45:34,  1,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|consumption:n_22.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  25,  9,  None,  22,  12,  None,  1,  0.0001,  None,  28,  TemporalMultiStep,  0.1,  7.18695916667,  25.6906493893, 
1002,  1298,  completed,  eof,  2019-02-05 16:45:34,  2019-02-05 16:45:35,  1,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  25,  9,  None,  None,  12,  None,  1,  0.0001,  1.0,  28,  TemporalMultiStep,  0.1,  7.18695916667,  25.6906493893, 
1002,  1299,  completed,  eof,  2019-02-05 16:45:34,  2019-02-05 16:45:35,  1,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  25,  9,  None,  None,  12,  0.5,  1,  0.0001,  None,  28,  TemporalMultiStep,  0.1,  7.18695916667,  25.6906493893, 
1002,  1300,  completed,  eof,  2019-02-05 16:45:35,  2019-02-05 16:45:36,  1,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  25,  9,  1,  None,  12,  None,  1,  0.0001,  None,  28,  TemporalMultiStep,  0.1,  7.18695916667,  25.6906493893, 
1002,  1301,  completed,  eof,  2019-02-05 16:45:35,  2019-02-05 16:45:36,  1,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|consumption:n_521.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  25,  12,  None,  521,  16,  None,  5,  0.1,  None,  521,  NontemporalMultiStep,  0.0003,  7.18695916667,  25.6906493893, 
1002,  1302,  completed,  eof,  2019-02-05 16:45:36,  2019-02-05 16:45:37,  1,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  25,  12,  None,  None,  16,  None,  5,  0.1,  6.0,  521,  NontemporalMultiStep,  0.0003,  8.24945916667,  29.4886833482, 
